"Notes"	"Year"	"Year Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"2002"	"2002"	"Wyoming"	"56"	2298
	"2003"	"2003"	"Alabama"	"01"	21464
	"2003"	"2003"	"Alaska"	"02"	2358
	"2003"	"2003"	"Arizona"	"04"	24517
	"2003"	"2003"	"Arkansas"	"05"	14227
	"2003"	"2003"	"California"	"06"	147147
	"2003"	"2003"	"Colorado"	"08"	18755
	"2003"	"2003"	"Connecticut"	"09"	20391
	"2003"	"2003"	"Delaware"	"10"	4517
	"2003"	"2003"	"District of Columbia"	"11"	3167
	"2003"	"2003"	"Florida"	"12"	106262
	"2003"	"2003"	"Georgia"	"13"	37046
	"2003"	"2003"	"Hawaii"	"15"	5969
	"2003"	"2003"	"Idaho"	"16"	6175
	"2003"	"2003"	"Illinois"	"17"	62887
	"2003"	"2003"	"Indiana"	"18"	31249
	"2003"	"2003"	"Iowa"	"19"	16504
	"2003"	"2003"	"Kansas"	"20"	13548
	"2003"	"2003"	"Kentucky"	"21"	22539
	"2003"	"2003"	"Louisiana"	"22"	22161
	"2003"	"2003"	"Maine"	"23"	8223
	"2003"	"2003"	"Maryland"	"24"	28175
	"2003"	"2003"	"Massachusetts"	"25"	36836
	"2003"	"2003"	"Michigan"	"26"	54972
	"2003"	"2003"	"Minnesota"	"27"	24516
	"2003"	"2003"	"Mississippi"	"28"	13573
	"2003"	"2003"	"Missouri"	"29"	29697
	"2003"	"2003"	"Montana"	"30"	5150
	"2003"	"2003"	"Nebraska"	"31"	8897
	"2003"	"2003"	"Nevada"	"32"	10536
	"2003"	"2003"	"New Hampshire"	"33"	7065
	"2003"	"2003"	"New Jersey"	"34"	48172
	"2003"	"2003"	"New Mexico"	"35"	8044
	"2003"	"2003"	"New York"	"36"	103167
	"2003"	"2003"	"North Carolina"	"37"	40165
	"2003"	"2003"	"North Dakota"	"38"	3366
	"2003"	"2003"	"Ohio"	"39"	59024
	"2003"	"2003"	"Oklahoma"	"40"	18466
	"2003"	"2003"	"Oregon"	"41"	18136
	"2003"	"2003"	"Pennsylvania"	"42"	75330
